order_id,customer_id,order_date,delivery_time_min,status,total_amount_xaf,city_order,quartier_order,product_category,courier_id,order_hour,order_day_of_week,order_day,order_month,name,phone,registration_date,city_customer,quartier_customer,loyalty_score,client_actif
100000,CUST11954,2024-07-06 14:31:00,44.7,livré,15444.0,Yaounde,Biyem-Assi,inconnu,47,14,Friday,Saturday,2024-07,Stanislas CAMARA,00237671428713541254,2022-01-06,Douala,Bonabéri,45.1,True
100001,CUST11317,2024-04-20 18:56:00,53.9,livré,16188.0,Yaounde,Messa,inconnu,32,18,Saturday,Saturday,2024-04,Boubacar HASSAN,665684858,2022-02-14,Yaounde,Mokolo,,True
100002,CUST17374,2024-10-07 17:37:00,260.7,en_retard,11497.0,Douala,Bonabéri,restauration,32,17,Wednesday,Monday,2024-10,laure MINLO,654446182,2022-12-28,Yaounde,Briqueterie,78.9,True
100003,CUST10224,2023-03-29 07:48:00,253.8,en_retard,20301.0,Yaounde,Nlongkak,epicerie,22,7,Wednesday,Wednesday,2023-03,ESTELLE TCHAMBA,00237619510312112541,2023-04-28,Douala,Makepe,59.1,True
100004,CUST11846,2024-12-29 08:35:00,66.5,livré,15639.0,Yaounde,Bastos,inconnu,30,8,Sunday,Sunday,2024-12,BOUKAR Aline,613579612,2024-12-10,Douala,Ndokotti,60.6,True
100005,CUST17287,2024-02-14 19:41:00,287.3,en_retard,59249.0,Douala,Village,vetement,43,19,Wednesday,Wednesday,2024-02,Therese BALDE,684285882,2024-04-01,Yaounde,Mvog-Mbi,74.4,True
100006,CUST10909,2024-12-17 15:02:00,38.8,livré,5920.0,Douala,Kotto,hygiene,27,15,Tuesday,Tuesday,2024-12,Alain COULIBALY,623318904,2023-12-09,Douala,Mboppi,37.4,True
100007,CUST10387,2022-02-07 22:51:00,32.1,livré,25000.0,Douala,Akwa,epicerie,7,22,Saturday,Monday,2022-02,Sandrine BILONG,(+237)637326368,2021-10-06,Douala,Kotto,45.8,True
100008,CUST17144,2024-12-28 11:37:00,10.8,annulé,25000.0,Bafoussam,Tamdja,epicerie,14,11,Saturday,Saturday,2024-12,GUSTAVE NDONGO,658181396,2024-03-24,Bafoussam,Ndiengdam,,True
100009,CUST10572,2024-10-28 15:54:00,145.9,en_retard,348663.0,Douala,Ngodi-Bakoko,electronique,22,15,Monday,Monday,2024-10,Nadège traore,629806690,2023-01-20,Bafoussam,Tougang,66.7,True
100010,CUST11495,2024-09-30 11:24:00,30.6,livré,9990.0,Yaounde,Essos,boisson,4,11,Monday,Monday,2024-09,CONSTANT NJOH,647388792,2022-11-07,Douala,Nkolmesseng,76.0,True
100011,CUST17173,2024-01-04 00:00:00,82.6,livré,10639.0,Yaounde,Etoudi,epicerie,6,0,Thursday,Thursday,2024-01,,,,,,,True
100012,CUST11473,2024-06-27 17:27:00,162.2,en retard,75000.0,Yaounde,Jouvence,articles menagers,5,17,Thursday,Thursday,2024-06,DJENEBA KEITA,665137801,2023-03-15,Douala,Akwa,71.0,True
100013,CUST10767,2024-12-06 17:10:00,225.1,en_retard,8044.0,Yaounde,Messa,boisson,6,17,Friday,Friday,2024-12,NDIKUM Sylvain,672394301,2024-03-06,Douala,Makepe,39.7,True
